問い合わせ番号,発注機関,発注地域,件名,カテゴリ,入札種別,資格ランク,案件登録日,入札日,開札日,落札会社名,落札価格,予定価格,応札企業,リンク
"R22997379","和歌山県","和歌山県","西閲覧１２月②　物品販売１　OKI C332dnw用純正イメージドラム　OKI　ID-C4SP　1個",,,,,,"2023-12-19","有限会社金與","13500","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzM3OQ=="
"R22997378","和歌山県","和歌山県","西閲覧１２月②　物品販売１　OKI C332dnw用純正トナーカートリッジ　OKI C332dnw用純正トナーカートリッジ　仕様書参照　4個",,,,,,"2023-12-19","有限会社金與","42120","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzM3OA=="
"R22997364","和歌山県","和歌山県","西閲覧１２月②　物品販売１　Ｍｏｂｉｌ　Ｖａｃｔｒａ（バクトラオイル）　Ｎｏ．２　ＳＬＣ　　ＩＳＯ　ＶＧ　６８　1缶",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzM2NA=="
"R22997353","和歌山県","和歌山県","西閲覧１２月②　物品販売１　輪ゴム　スマートバリュー　箱入り　100グラム　規格：No.16　60×1.1㎜　品番：B105J　3箱",,,,,,"2023-12-19","有限会社金與","390","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzM1Mw=="
"R22997348","和歌山県","和歌山県","西閲覧１２月②　物品販売１　ICレコーダー　オリンパス　ICレコーダー　Voice-Trek　ブラック　WS-883　BLK　1台",,,,,,"2023-12-19","有限会社金與","7800","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzM0OA=="
"R22997346","和歌山県","和歌山県","西閲覧１２月②　物品販売１　レジ袋　NO．40　厚み０．０２５　乳白色　10，000枚",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzM0Ng=="
"R22997345","和歌山県","和歌山県","西閲覧１２月②　物品販売１　乾電池　９V　パナソニック　アルカリ乾電池　エボルタNEO　９V　角形　６LR６１NJ　6個",,,,,,"2023-12-19","有限会社金與","2160","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzM0NQ=="
"R22997338","和歌山県","和歌山県","西閲覧１２月②　物品販売１　ドラムカートリッジ　ＲＩＣＯＨ　SP ドラムユニット 6400 　リサイクル　旧品引取り込み　5個",,,,,,"2023-12-19","株式会社　芳養","22000","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzMzOA=="
"R22997337","和歌山県","和歌山県","西閲覧１２月②　物品販売１　トナーカートリッジ　ＲＩＣＯＨ　ＳＰ６４００Ｈ　リサイクル　旧品引取込み　5個",,,,,,"2023-12-19","株式会社ダイヤ文具","13100","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzMzNw=="
"R22997335","和歌山県","和歌山県","西閲覧１２月②　物品販売１　ＡＴサーミスタ　１０３ＡＴ-４　ＮＴＣ　ｔｈｅｒｍｉｓｔｏｒ　１０Ｋ　ｈｉｇｈ　ｐｒｅｃｉｓｉｏｎ　１％　３４３５Ｋ　１０本入　1袋",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzMzNQ=="
"R22997330","和歌山県","和歌山県","西閲覧１２月②　物品販売２　パッキン　ＴＯＴＯ　ＴＨ９３１０４Ｓ　10個",,,,,,"2023-12-19","有限会社金與","1150","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzMzMA=="
"R22997329","和歌山県","和歌山県","西閲覧１２月②　物品販売２　パッキン　ＴＯＴＯ　ＴＨＫ３６　5個",,,,,,"2023-12-19","有限会社金與","2900","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzMyOQ=="
"R22997323","和歌山県","和歌山県","西閲覧１２月②　物品販売２　ケーブル　ＶＯＬＴＭＥ　Ｃ１０３０-ＪＰ　Ｂ０ＢＤＭ６Ｆ７ＶＫ　2本",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzMyMw=="
"R22997322","和歌山県","和歌山県","西閲覧１２月②　物品販売２　ケーブル　ＶＯＬＴＭＥ　Ｃ１０２１-ＪＰ　Ｂ０ＢＤＭＤＫ５８Ｘ　2本",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzMyMg=="
"R22997321","和歌山県","和歌山県","西閲覧１２月②　物品販売２　ＰＤ　充電器　ＶＯＬＴＭＥ　６５Ｗ　Ｒｅｖｏ６５　Ｂ０ＢＭＰＪＰＺＪ４　2個",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzMyMQ=="
"R22997294","和歌山県","和歌山県","西閲覧１２月②　物品販売２　穴あけパンチ　カール事務器　２穴強力パンチ　Ｎｏ．１２２Ｎ　ロットガード（Ｋ-１０　グレー　１０枚入）含む　1式",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI5NA=="
"R22997290","和歌山県","和歌山県","西閲覧１２月②　物品販売２　普通紙ロール（薄手）　ＥＰＰＰ６４３６　９１４ｍｍ　幅５０ｍ　２本入　ＥＰＳＯＮ　1箱",,,,,,"2023-12-19","株式会社ダイヤ文具","4850","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI5MA=="
"R22997286","和歌山県","和歌山県","西閲覧１２月②　物品販売２　透明梱包テープ　カッター付　ＮＯ．３３０３　ＣＴ　Ｊ６０５０　3個",,,,,,"2023-12-19","有限会社金與","870","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI4Ng=="
"R22997282","和歌山県","和歌山県","西閲覧１２月②　物品販売２　フード　スクエアフード　Ｍｏｄｅｌ　Ｖ　アルミ製　９９９０３３００１０５　ブラック　1個",,,,,,"2023-12-19","岡崎商事株式会社","11888","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI4Mg=="
"R22997281","和歌山県","和歌山県","西閲覧１２月②　物品販売２　ポーチ　ＥＸＰＥＤ　ＶＩＳＴＡ　ＯＲＧＡＮＩＳＥＲ　Ａ５　1個",,,,,,"2023-12-19","岡崎商事株式会社","3588","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI4MQ=="
"R22997280","和歌山県","和歌山県","西閲覧１２月②　物品販売２　フィルター　ＴＯＫＹＯ　ＧＲＡＰＨＥＲ　ＯＰＦ　４８０-Ｌ　1個",,,,,,"2023-12-19","岡崎商事株式会社","8888","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI4MA=="
"R22997279","和歌山県","和歌山県","西閲覧１２月②　物品販売２　フィルター　Ｋ＆Ｆ　Ｃｏｎｃｅｐｔ　４９ｍｍ　Ｔｒｕｅ　Ｃｏｌｏｒ　ＣＰＬフィルター　Ｂ０ＣＣ５Ｓ６５ＣＳ　1個",,,,,,"2023-12-19","岡崎商事株式会社","4488","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI3OQ=="
"R22997278","和歌山県","和歌山県","西閲覧１２月②　物品販売２　フィルター　ハクバ　４９ｍｍ　ＸＣ-ＰＲＯ　ＸＣＰＲＬＧ４９　1個",,,,,,"2023-12-19","岡崎商事株式会社","2688","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI3OA=="
"R22997277","和歌山県","和歌山県","西閲覧１２月②　物品販売２　外部ファインダー　ＲＩＣＯＨ　ＧＶ-２　1個",,,,,,"2023-12-19","岡崎商事株式会社","21488","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI3Nw=="
"R22997276","和歌山県","和歌山県","西閲覧１２月②　物品販売２　アダプター　ＲＩＣＯＨ　ＧＡ-１　1個",,,,,,"2023-12-19","岡崎商事株式会社","4888","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI3Ng=="
"R22997275","和歌山県","和歌山県","西閲覧１２月②　物品販売２　バッテリー　ＲＩＣＯＨ　ＤＢ-１１０　3個",,,,,,"2023-12-19","岡崎商事株式会社","6888","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NzI3NQ=="
"R22996658","香川県","香川県","０２　ＯＡ機器（１）",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjY1OA=="
"R22996654","香川県","香川県","０３　ＯＡ機器（２）",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjY1NA=="
"R22996653","香川県","香川県","０４　ＯＡ周辺機器（１）",,,,,,"2023-12-19","株式会社エレパ　高松営業所","48224","","{応札企業名＝（株）エレパ　高松営業所、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝48224}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjY1Mw=="
"R22996649","香川県","香川県","０５　ＯＡ周辺機器（２）",,,,,,"2023-12-19","株式会社青柳","81290","","{応札企業名＝（株）青柳、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝81290},{応札企業名＝（株）エレパ　高松営業所、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝89870},{応札企業名＝タケヤ電機（株）　屋島店、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝97790},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝85800}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjY0OQ=="
"R22996647","香川県","香川県","０４　GlobalFiler PCR Amplification Kit",,,,,,"2023-12-19","四国医療器株式会社","660000","","{応札企業名＝四国医療器（株）、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝660000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjY0Nw=="
"R22996644","香川県","香川県","０６　ＯＡ周辺機器（３）",,,,,,"2023-12-19","株式会社エレパ　高松営業所","32879","","{応札企業名＝（株）エレパ　高松営業所、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝32879},{応札企業名＝（株）青柳、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝40810},{応札企業名＝（有）佐藤文具商会、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝38621},{応札企業名＝タケヤ電機（株）　屋島店、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝33330},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝33880}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjY0NA=="
"R22996639","香川県","香川県","１　OA消耗品",,,,,,"2023-12-19","有限会社佐藤文具商会","117733","","{応札企業名＝（有）佐藤文具商会、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝117733},{応札企業名＝（株）青柳、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝118690},{応札企業名＝石井事務機（株）、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝121957},{応札企業名＝（有）四国ディエスジャパン、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝123442},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝118613}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjYzOQ=="
"R22996630","香川県","香川県","０７　ＯＡ周辺機器（４）",,,,,,"2023-12-19","株式会社青柳","63745","","{応札企業名＝（株）青柳、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝63745},{応札企業名＝（株）エレパ　高松営業所、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝72765},{応札企業名＝（有）佐藤文具商会、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝74712},{応札企業名＝タケヤ電機（株）　屋島店、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝74360},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝65417}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjYzMA=="
"R22996628","香川県","香川県","０８　ＯＡ周辺機器（５）",,,,,,"2023-12-19","株式会社青柳","83380","","{応札企業名＝（株）青柳、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝83380},{応札企業名＝（株）エレパ　高松営業所、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝94710},{応札企業名＝タケヤ電機（株）　屋島店、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝99110},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝99000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjYyOA=="
"R22996626","香川県","香川県","ＯＡ消耗品",,,,,,"2023-12-19","株式会社青柳","21890","","{応札企業名＝（株）青柳、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝21890},{応札企業名＝石井事務機（株）、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝22121},{応札企業名＝（有）四国ディエスジャパン、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝22671},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝20000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjYyNg=="
"R22996622","香川県","香川県","０９　ＯＡ周辺機器（６）",,,,,,"2023-12-19","株式会社エレパ　高松営業所","47377","","{応札企業名＝（株）エレパ　高松営業所、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝47377}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjYyMg=="
"R22996618","香川県","香川県","１０　ＯＡ周辺機器（７）",,,,,,"2023-12-19","不調","","","{応札企業名＝（株）エレパ　高松営業所、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝270688}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjYxOA=="
"R22996613","香川県","香川県","1 OA消耗品",,,,,,"2023-12-19","有限会社佐藤文具商会","459162","","{応札企業名＝（有）佐藤文具商会、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝459162},{応札企業名＝（株）青柳、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝462000},{応札企業名＝石井事務機（株）、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝468534},{応札企業名＝（有）四国ディエスジャパン、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝480150},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝462000}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjYxMw=="
"R22996612","香川県","香川県","１１　ＯＡ周辺機器（８）",,,,,,"2023-12-19","株式会社青柳","140470","","{応札企業名＝（株）青柳、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝140470},{応札企業名＝石井事務機（株）、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝174350},{応札企業名＝（株）エレパ　高松営業所、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝170830},{応札企業名＝タケヤ電機（株）　屋島店、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝166430},{応札企業名＝大都通信（株）、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝162910},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝154110},{応札企業名＝（株）ヤマダデンキ　高松営業所、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝168454}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjYxMg=="
"R22996600","香川県","香川県","１２　ＯＡ消耗品（１）",,,,,,"2023-12-19","株式会社原誠文堂","49775","","{応札企業名＝（株）原誠文堂、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝49775},{応札企業名＝（株）青柳、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝53449},{応札企業名＝石井事務機（株）、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝54714},{応札企業名＝（有）佐藤文具商会、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝53328}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjYwMA=="
"R22996597","香川県","香川県","１３　ＯＡ消耗品（２）",,,,,,"2023-12-19","石井事務機株式会社","88825","","{応札企業名＝石井事務機（株）、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝88825},{応札企業名＝（株）青柳、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝89870},{応札企業名＝（有）佐藤文具商会、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝91685},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝90563}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjU5Nw=="
"R22996593","香川県","香川県","１４　ＯＡ消耗品（３）",,,,,,"2023-12-19","有限会社佐藤文具商会","141790","","{応札企業名＝（有）佐藤文具商会、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝141790},{応札企業名＝（株）青柳、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝142890},{応札企業名＝石井事務機（株）、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝144650},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝145200}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjU5Mw=="
"R22996587","香川県","香川県","１５　ＯＡ消耗品（４）",,,,,,"2023-12-19","四国通建株式会社　高松支店","74800","","{応札企業名＝四国通建（株）　高松支店、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝74800},{応札企業名＝（株）青柳、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝78562},{応札企業名＝石井事務機（株）、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝79552},{応札企業名＝（有）佐藤文具商会、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝78012},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝79200}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjU4Nw=="
"R22996583","香川県","香川県","１６　ＯＡ消耗品（５）",,,,,,"2023-12-19","株式会社青柳","257400","","{応札企業名＝（株）青柳、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝257400},{応札企業名＝（有）佐藤文具商会、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝260942},{応札企業名＝（株）原誠文堂、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝266365}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjU4Mw=="
"R22996568","香川県","香川県","２５　ＩＳＯＬＵＴＥ　ＳＬＥ＋",,,,,,"2023-12-19","化研テクノ株式会社　高松営業所","28600","","{応札企業名＝化研テクノ（株）　高松営業所、応札結果・備考＝落札(第1回~第1回は見積金額)、応札金額＝28600},{応札企業名＝増田薬品（株）、応札結果・備考＝(第1回~第1回は見積金額)、応札金額＝31900}","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjU2OA=="
"R22996367","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】実験・学校・防火品　ソフトテニスボール　（公認球）ケンコーソフトテニスボール・ホワイト（TSOW－V）１ダース　20ダース",,,,,,"2023-12-19","オクノスポーツ","66777","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM2Nw=="
"R22996354","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　空気清浄機用消耗品　シャープ　使い捨て加湿プレフィルター　ＦＺ－ＰＦ１０ＭＦ（６枚）　5箱",,,,,,"2023-12-19","株式会社山本二三男電気商会","3750","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM1NA=="
"R22996353","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　空気清浄機用消耗品　シャープ　Ａｇ＋イオンカートリッジ　ＦＺ－ＡＧ０１Ｋ１　5個",,,,,,"2023-12-19","株式会社山本二三男電気商会","3450","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM1Mw=="
"R22996352","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　スチール印箱（鍵付き）　コクヨ　中　幅196×奥行156×高さ93㎜　品番：IB-24　1個",,,,,,"2023-12-19","ミカサ事務機株式会社","3600","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM1Mg=="
"R22996351","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　ラベルシール　エーワン　ラベルシール100枚入り　品番：28364　1袋",,,,,,"2023-12-19","ミカサ事務機株式会社","2965","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM1MQ=="
"R22996350","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　ステープル針　コクヨ　ステープル針　ＳＬ－３１Ｎ　2箱",,,,,,"2023-12-19","ミカサ事務機株式会社","550","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM1MA=="
"R22996349","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　ステープル針　京セラ　品番：ＳＨ－１０　複合機ＴＡＳＫａｌｆａ７０５４ｃｉ用　ステープル針　５０００針×３　1箱",,,,,,"2023-12-19","ミカサ事務機株式会社","4600","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM0OQ=="
"R22996348","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　蛍光灯　ＮＥＣ　ＦＣＬ３０ＥＤＦ／２８－ＳＨＧ　丸形蛍光灯３０形　昼光色　10本",,,,,,"2023-12-19","株式会社山本二三男電気商会","8500","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM0OA=="
"R22996347","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　インクカートリッジ　ＥＰＳＯＮ　ＩＣＢＫ６１　純正　黒　2個",,,,,,"2023-12-19","株式会社シマモト","3650","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM0Nw=="
"R22996346","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　充電式クリーナー用紙パック　マキタ　Ａ－４８５１１　純正紙パック（１０枚入）　抗菌紙パック　マキタＣＬ１８２ＦＤ対応　10袋",,,,,,"2023-12-19","西本工機株式会社","4000","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM0Ng=="
"R22996345","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　スクリーン（白色）　ケニス　コード：１－１１５－００９５　5個",,,,,,"2023-12-19","株式会社村上三光堂","4500","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM0NQ=="
"R22996344","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　チャコペンシル（２本組）　昭和教材　チャコペンシル（２本組）全長１４．５ｃｍ（キャップ込）　10個",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM0NA=="
"R22996343","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　ファイルボックス用ふた　無印良品　４４９０２８６８　ポリプロピレンファイルボックス用　ホワイトグレー　5枚",,,,,,"2023-12-19","有限会社見好モータース","2950","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM0Mw=="
"R22996342","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　ファイルボックス　無印良品　４４９０２８７５　ポリプロピレンファイルボックス　Ａ４用　ホワイトグレー　5箱",,,,,,"2023-12-19","有限会社見好モータース","5710","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM0Mg=="
"R22996341","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　トナーカートリッジ　ＲＩＣＯＨ　トナーＰ　Ｃ６０００　イエロー　６００６９０　2箱",,,,,,"2023-12-19","ミカサ事務機株式会社","8900","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM0MQ=="
"R22996340","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　トナーカートリッジ　ＲＩＣＯＨ　トナーＰ　Ｃ６０００　マゼンタ　６００６８９　2箱",,,,,,"2023-12-19","ミカサ事務機株式会社","8900","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjM0MA=="
"R22996339","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　トナーカートリッジ　ＲＩＣＯＨ　トナーＰ　Ｃ６０００　シアン　６００６８８　2箱",,,,,,"2023-12-19","ミカサ事務機株式会社","8900","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjMzOQ=="
"R22996338","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　石油ストーブ　コロナ　ＦＦ－Ｂ７４Ｈ（Ｗ）設置費込　※現場確認必須　1台",,,,,,"2023-12-19","土生株式会社","176210","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjMzOA=="
"R22996337","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】OA・文具・電気製品　ＳＤカード　ＳａｎＤｉｓｋ　Ｕｌｔｒａ　ＳＤＳＤＵＮ４ー０３２Ｇ－ＧＨＪＮＮ　別添①参照　20枚",,,,,,"2023-12-19","不調","","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjMzNw=="
"R22996333","和歌山県","和歌山県","【12月13日～12月19日　閲覧表】園芸・工具・車用品　ベルトパーティションRS　next Tone ( SU-949-030-2　２台　SU-949-030-3　4台）　6台",,,,,,"2023-12-19","株式会社シマモト","39000","","","https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM1IyMjk5NjMzMw=="
